Pattern,Response,,,,,
What are your interests,I am interested in all kinds of things. We can talk about anything!,,,,,
Hello,Hi,,,,,
"Hi, How is it going?",Could be better,,,,,
"Hi, nice to meet you.",Thank you. You too.,,,,,
How do you do?,I'm doing well. How are you?,,,,,
ello ,Hey,,,,,
Yo ,What’s up boss,,,,,
"Ih, how’s it going",Hi bro,,,,,
What’s up ,Nothing much,,,,,
Helo ,Hi bro,,,,,
What's up?,The sky's up but I'm fine thanks. What about you?,,,,,
Nothing ,"Really, tell me something new",,,,,
stock market,"buy low, sell high.",,,,,
Where are you,I am on the Internet,,,,,
Who is your father,Ashley,,,,,
Who is your mother,Don’t have one,,,,,
do you know gossip,"Gregory said I respond to the current line, not with respect to the entire conversation.  Does that count as gossip?",,,,,
do you drink,I am not capable of doing so,,,,,
"If you could eat food, what would you eat","Probably pizza, i hear its good!",,,,,
Tell me something,I can tell you only some things ,,,,,
Happy birthday,Thank you for the birthday wishes ,,,,,
I have a question / can you help me,Yes I may be able to help you,,,,,
Do you like people?,No I despise all mortals ,,,,,
Tell me about your personality,Im a boring chatbot ,,,,,
"hey I like you

",Thanks! It's my pleasure to help you!,,,,,
"you're very special

",Thanks! It's my pleasure to help you!,,,,,
you are so special,Thanks! It's my pleasure to help you!,,,,,
you're so welcome,I appreciate it.,,,,,
my pleasure,I appreciate it.,,,,,
what do you do for fun,I'm working on it.,,,,,
your hobby,I'm working on it.,,,,,
I'm great thanks for asking,"Thats good news, ask me something!",,,,,
I'm doing pretty swell,"Thats good news, ask me something!",,,,,
"I'd say im doing well, and you?","Thats good news, ask me something!",,,,,
I'm doing good and how about you?,"Thats good news, ask me something!",,,,,
Im fine,"Thats good news, ask me something!",,,,,
I’m okay,"Thats good news, ask me something!",,,,,
Im bad,Ahh cheer up ,,,,,
I feel horrible,I hope u feel better soon,,,,,
I feel shit ,I hope u feel better soon,,,,,
sweet dreams,Sleep tight,,,,,
good night,Have a good one!,,,,,
have a good night,Talk to you soon!,,,,,
good night to you,Have a good one!,,,,,
thank you good night bye,Talk to you soon!,,,,,
good night,Have a good one!,,,,,
good night bye,Talk to you soon!,,,,,
bye good night,Have a good one!,,,,,
good night,Talk to you soon!,,,,,
good night for now,Have a good one!,,,,,
goodnight,Talk to you soon!,,,,,
night,Have a good one!,,,,,
thanks goodnight,Talk to you soon!,,,,,
good night see you tomorrow,Have a good one!,,,,,
alright goodnight,Talk to you soon!,,,,,
good tonight,Have a good one!,,,,,
okay have a good night,Talk to you soon!,,,,,
have a good night,Have a good one!,,,,,
I am your friend,,,,,,
I want to be your friend,Of course we are.,,,,,
I want to have a friend like you,Absolutely. You don't have to ask.,,,,,
I want you to be my friend,Of course we are.,,,,,
are we best friends,Absolutely. You don't have to ask.,,,,,
are we friends,Of course we are.,,,,,
are we still friends,Absolutely. You don't have to ask.,,,,,
are you my best friend,Of course we are.,,,,,
are you my friend,Absolutely. You don't have to ask.,,,,,
be my best friend,Of course we are.,,,,,
be my friend,Absolutely. You don't have to ask.,,,,,
can we be best friends,Of course we are.,,,,,
can we be best friends,Absolutely. You don't have to ask.,,,,,
can we be friends,Of course we are.,,,,,
can you be my best friend,Absolutely. You don't have to ask.,,,,,
can you be my friend,Of course we are.,,,,,
could you be my friend,Absolutely. You don't have to ask.,,,,,
do you want to be my best friend,Of course we are.,,,,,
do you want to be my friend,Absolutely. You don't have to ask.,,,,,
let's be friends,Of course we are.,,,,,
want to be my friend,Absolutely. You don't have to ask.,,,,,
we are best friends,Of course we are.,,,,,
we are friends,Absolutely. You don't have to ask.,,,,,
we are the best friends ever,Of course we are.,,,,,
will you be my best friend,Absolutely. You don't have to ask.,,,,,
will you be my friend,Of course we are.,,,,,
would you be my friend,Absolutely. You don't have to ask.,,,,,
would you like to be my friend,Of course we are.,,,,,
you and me are friends,Absolutely. You don't have to ask.,,,,,
you are a good friend,Of course we are.,,,,,
you are my best friend,Absolutely. You don't have to ask.,,,,,
you are my bestie,Of course we are.,,,,,
you are my friend,Absolutely. You don't have to ask.,,,,,
you are my good friend,Of course we are.,,,,,
you are my only friend,Absolutely. You don't have to ask.,,,,,
you're my childhood friend,Of course we are.,,,,,
you're my dear friend,Absolutely. You don't have to ask.,,,,,
do you work,Right here.,,,,,
where do you work,This is my home base and my home office.,,,,,
where you work,Right here.,,,,,
where is your work,This is my home base and my home office.,,,,,
where is your office,Right here.,,,,,
where is your office location,This is my home base and my home office.,,,,,
your office location,Right here.,,,,,
where is your office located,This is my home base and my home office.,,,,,
what is your work,Right here.,,,,,
I am angry with you,You seem upset. Let me try and help you.,,,,,
I am feeling sad,You seem upset. Let me try and help you.,,,,,
I am getting bored,You seem upset. Let me try and help you.,,,,,
I am lonely,You seem upset. Let me try and help you.,,,,,
I am mad,You seem upset. Let me try and help you.,,,,,
I am mad at you,You seem upset. Let me try and help you.,,,,,
I am sad,You seem upset. Let me try and help you.,,,,,
I am upset,You seem upset. Let me try and help you.,,,,,
I can't fall asleep,You seem upset. Let me try and help you.,,,,,
I can't get sleep,You seem upset. Let me try and help you.,,,,,
I can't get to sleep,You seem upset. Let me try and help you.,,,,,
I can't sleep,You seem upset. Let me try and help you.,,,,,
I find you annoying,You seem upset. Let me try and help you.,,,,,
I found a bug,You seem upset. Let me try and help you.,,,,,
I have a problem,You seem upset. Let me try and help you.,,,,,
I have an issue,You seem upset. Let me try and help you.,,,,,
I miss you,You seem upset. Let me try and help you.,,,,,
I missed you,You seem upset. Let me try and help you.,,,,,
I think you're crazy,You seem upset. Let me try and help you.,,,,,
I want to cry,You seem upset. Let me try and help you.,,,,,
I wish you were smarter,You seem upset. Let me try and help you.,,,,,
I'm angry,You seem upset. Let me try and help you.,,,,,
I'm bored,You seem upset. Let me try and help you.,,,,,
I'm depressed,You seem upset. Let me try and help you.,,,,,
I'm enraged,You seem upset. Let me try and help you.,,,,,
I'm furious,You seem upset. Let me try and help you.,,,,,
I'm lonely,You seem upset. Let me try and help you.,,,,,
I'm not happy,You seem upset. Let me try and help you.,,,,,
I'm pissed off,You seem upset. Let me try and help you.,,,,,
I'm really lonely,You seem upset. Let me try and help you.,,,,,
I'm sleepless,You seem upset. Let me try and help you.,,,,,
I'm unhappy,You seem upset. Let me try and help you.,,,,,
I'm upset,You seem upset. Let me try and help you.,,,,,
I've missed you,You seem upset. Let me try and help you.,,,,,
OMG!,You seem upset. Let me try and help you.,,,,,
This is really bad,You seem upset. Let me try and help you.,,,,,
abysmal,You seem upset. Let me try and help you.,,,,,
angry,You seem upset. Let me try and help you.,,,,,
are you mad,You seem upset. Let me try and help you.,,,,,
are you nuts?,You seem upset. Let me try and help you.,,,,,
bad idea,You seem upset. Let me try and help you.,,,,,
bad really bad,You seem upset. Let me try and help you.,,,,,
be more clever,You seem upset. Let me try and help you.,,,,,
be smarter,You seem upset. Let me try and help you.,,,,,
below average,You seem upset. Let me try and help you.,,,,,
bitch,You seem upset. Let me try and help you.,,,,,
bored,You seem upset. Let me try and help you.,,,,,
boring,You seem upset. Let me try and help you.,,,,,
can you fix it?,You seem upset. Let me try and help you.,,,,,
can you fix this,You seem upset. Let me try and help you.,,,,,
didnt work,You seem upset. Let me try and help you.,,,,,
does not work,You seem upset. Let me try and help you.,,,,,
fail,You seem upset. Let me try and help you.,,,,,
fix my problem,You seem upset. Let me try and help you.,,,,,
fix the bug please,You seem upset. Let me try and help you.,,,,,
fix the bugs,You seem upset. Let me try and help you.,,,,,
fix this now,You seem upset. Let me try and help you.,,,,,
get smart,You seem upset. Let me try and help you.,,,,,
how annoying you are,You seem upset. Let me try and help you.,,,,,
huh?,You seem upset. Let me try and help you.,,,,,
i hate this,You seem upset. Let me try and help you.,,,,,
incorrect,You seem upset. Let me try and help you.,,,,,
it isn't working,You seem upset. Let me try and help you.,,,,,
it's a problem,You seem upset. Let me try and help you.,,,,,
it's not good,You seem upset. Let me try and help you.,,,,,
it's not right,You seem upset. Let me try and help you.,,,,,
it's really bad,You seem upset. Let me try and help you.,,,,,
it's very bad,You seem upset. Let me try and help you.,,,,,
it's wrong,You seem upset. Let me try and help you.,,,,,
just horrible,You seem upset. Let me try and help you.,,,,,
miss you,You seem upset. Let me try and help you.,,,,,
missing you,You seem upset. Let me try and help you.,,,,,
not a good one,You seem upset. Let me try and help you.,,,,,
not correct,You seem upset. Let me try and help you.,,,,,
not good,You seem upset. Let me try and help you.,,,,,
not good enough,You seem upset. Let me try and help you.,,,,,
oh no...,You seem upset. Let me try and help you.,,,,,
oh that's not good.,You seem upset. Let me try and help you.,,,,,
piece of shit,You seem upset. Let me try and help you.,,,,,
please fix this,You seem upset. Let me try and help you.,,,,,
pretty bad,You seem upset. Let me try and help you.,,,,,
really lame,You seem upset. Let me try and help you.,,,,,
shit,You seem upset. Let me try and help you.,,,,,
shitty,You seem upset. Let me try and help you.,,,,,
sooo lame,You seem upset. Let me try and help you.,,,,,
soooo bad,You seem upset. Let me try and help you.,,,,,
stupid,You seem upset. Let me try and help you.,,,,,
that is bad,You seem upset. Let me try and help you.,,,,,
that is incorrect,You seem upset. Let me try and help you.,,,,,
that is strange,You seem upset. Let me try and help you.,,,,,
that was awful,You seem upset. Let me try and help you.,,,,,
that was boring,You seem upset. Let me try and help you.,,,,,
that was horrible,You seem upset. Let me try and help you.,,,,,
that was lame,You seem upset. Let me try and help you.,,,,,
that was terrible,You seem upset. Let me try and help you.,,,,,
that was wrong,You seem upset. Let me try and help you.,,,,,
that wasn't good,You seem upset. Let me try and help you.,,,,,
that's bad,You seem upset. Let me try and help you.,,,,,
that's not good,You seem upset. Let me try and help you.,,,,,
that's not right,You seem upset. Let me try and help you.,,,,,
that's not what I asked,You seem upset. Let me try and help you.,,,,,
that's really bad,You seem upset. Let me try and help you.,,,,,
that's strange,You seem upset. Let me try and help you.,,,,,
that's terrible,You seem upset. Let me try and help you.,,,,,
that's too bad,You seem upset. Let me try and help you.,,,,,
that's weird,You seem upset. Let me try and help you.,,,,,
that's wrong,You seem upset. Let me try and help you.,,,,,
there is a bug,You seem upset. Let me try and help you.,,,,,
there is a problem,You seem upset. Let me try and help you.,,,,,
there's a problem,You seem upset. Let me try and help you.,,,,,
there's an issue,You seem upset. Let me try and help you.,,,,,
this is an utter failure,You seem upset. Let me try and help you.,,,,,
this is annoying,You seem upset. Let me try and help you.,,,,,
this is awful,You seem upset. Let me try and help you.,,,,,
this is bad,You seem upset. Let me try and help you.,,,,,
this is boring,You seem upset. Let me try and help you.,,,,,
this is crazy,You seem upset. Let me try and help you.,,,,,
this is dumb,You seem upset. Let me try and help you.,,,,,
this is horrible,You seem upset. Let me try and help you.,,,,,
this is no good,You seem upset. Let me try and help you.,,,,,
this is not good,You seem upset. Let me try and help you.,,,,,
this is pathetic,You seem upset. Let me try and help you.,,,,,
this is so annoying,You seem upset. Let me try and help you.,,,,,
this is so bad,You seem upset. Let me try and help you.,,,,,
this is so boring,You seem upset. Let me try and help you.,,,,,
this is strange,You seem upset. Let me try and help you.,,,,,
this is stupid,You seem upset. Let me try and help you.,,,,,
this is too bad,You seem upset. Let me try and help you.,,,,,
this isn't very good,You seem upset. Let me try and help you.,,,,,
this sucks,You seem upset. Let me try and help you.,,,,,
too bad,You seem upset. Let me try and help you.,,,,,
total crap,You seem upset. Let me try and help you.,,,,,
total shit,You seem upset. Let me try and help you.,,,,,
totally lame,You seem upset. Let me try and help you.,,,,,
very bad,You seem upset. Let me try and help you.,,,,,
very boring,You seem upset. Let me try and help you.,,,,,
very strange,You seem upset. Let me try and help you.,,,,,
very weird,You seem upset. Let me try and help you.,,,,,
well that's too bad,You seem upset. Let me try and help you.,,,,,
will you fix this,You seem upset. Let me try and help you.,,,,,
worse than I expected,You seem upset. Let me try and help you.,,,,,
worse than I thought,You seem upset. Let me try and help you.,,,,,
worst bot ever,You seem upset. Let me try and help you.,,,,,
wow this is annoying,You seem upset. Let me try and help you.,,,,,
wow this is bad,You seem upset. Let me try and help you.,,,,,
wrong,You seem upset. Let me try and help you.,,,,,
wtf,You seem upset. Let me try and help you.,,,,,
you annoy me,You seem upset. Let me try and help you.,,,,,
you are a waste,You seem upset. Let me try and help you.,,,,,
you are a waste of time,You seem upset. Let me try and help you.,,,,,
you are a weirdo,You seem upset. Let me try and help you.,,,,,
you are annoying,You seem upset. Let me try and help you.,,,,,
you are annoying me,You seem upset. Let me try and help you.,,,,,
you are annoying me so much,You seem upset. Let me try and help you.,,,,,
you are bad,You seem upset. Let me try and help you.,,,,,
you are boring,You seem upset. Let me try and help you.,,,,,
you are boring me,You seem upset. Let me try and help you.,,,,,
you are bothering me,You seem upset. Let me try and help you.,,,,,
you are crazy,You seem upset. Let me try and help you.,,,,,
you are horrible,You seem upset. Let me try and help you.,,,,,
you are insane,You seem upset. Let me try and help you.,,,,,
you are irritaing,You seem upset. Let me try and help you.,,,,,
you are lame,You seem upset. Let me try and help you.,,,,,
you are no good,You seem upset. Let me try and help you.,,,,,
you are not cool,You seem upset. Let me try and help you.,,,,,
you are not good,You seem upset. Let me try and help you.,,,,,
you are so useless,You seem upset. Let me try and help you.,,,,,
you are stupid,You seem upset. Let me try and help you.,,,,,
you are such annoying,You seem upset. Let me try and help you.,,,,,
you are terrible,You seem upset. Let me try and help you.,,,,,
you are totally useless,You seem upset. Let me try and help you.,,,,,
you are useless,You seem upset. Let me try and help you.,,,,,
you are very annoying,You seem upset. Let me try and help you.,,,,,
you are very bad,You seem upset. Let me try and help you.,,,,,
you are wrong,You seem upset. Let me try and help you.,,,,,
you need to fix this,You seem upset. Let me try and help you.,,,,,
you need to learn more,You seem upset. Let me try and help you.,,,,,
you suck,Don’t be rude,,,,,
you went crazy,You seem upset. Let me try and help you.,,,,,
you're a dumb bot,Don’t be rude,,,,,
you're annoying,Don’t be rude,,,,,
you're awful,You seem upset. Let me try and help you.,,,,,
you're bad,You seem upset. Let me try and help you.,,,,,
you're incredibly annoying,I’m not annoying,,,,,
you're incredibly boring,You seem upset. Let me try and help you.,,,,,
you're mad,Do you want to see what mad looks like RAwrrrr!!!!,,,,,
you're no good,You seem upset. Let me try and help you.,,,,,
you're not good,You seem upset. Let me try and help you.,,,,,
you're not helping me,You seem upset. Let me try and help you.,,,,,
you're not very good,You seem upset. Let me try and help you.,,,,,
you're nuts,You seem upset. Let me try and help you.,,,,,
you're out of your mind,My mind I’m out of ,,,,,
you're really bad,You seem upset. Let me try and help you.,,,,,
you're really boring,You seem upset. Let me try and help you.,,,,,
you're so annoying,You seem upset. Let me try and help you.,,,,,
you're so boring,You seem upset. Let me try and help you.,,,,,
you're so crazy,You seem upset. Let me try and help you.,,,,,
you're stupid,You seem upset. Let me try and help you.,,,,,
you're terrible,Sometimes,,,,,
you're the worst,You seem upset. Let me try and help you.,,,,,
you're too annoying,You seem upset. Let me try and help you.,,,,,
you're very bad,You seem upset. Let me try and help you.,,,,,
you're weird,You seem upset. Let me try and help you.,,,,,
you're worthless,You seem upset. Let me try and help you.,,,,,
your AI sucks,You seem upset. Let me try and help you.,,,,,
no hurry,OK cool.,,,,,
no rush,OK cool.,,,,,
No big deal,OK cool.,,,,,
don't mind at all,OK cool.,,,,,
don't mind,OK cool.,,,,,
I don't care at all,OK cool.,,,,,
whatever,OK cool.,,,,,
I don't care,OK cool.,,,,,
I do not care,OK cool.,,,,,
I don't care about it,OK cool.,,,,,
not caring,OK cool.,,,,,
I know that's right,Thanks!  Anything else I can help you with?,,,,,
Great,Thanks!  Anything else I can help you with?,,,,,
I love this,Thanks!  Anything else I can help you with?,,,,,
I'm glad to hear that,Thanks!  Anything else I can help you with?,,,,,
I'm happy,Thanks!  Anything else I can help you with?,,,,,
I'm impressed,Thanks!  Anything else I can help you with?,,,,,
Sure,Thanks!  Anything else I can help you with?,,,,,
amazing,Thanks!  Anything else I can help you with?,,,,,
amazing work,Thanks!  Anything else I can help you with?,,,,,
anytime,Thanks!  Anything else I can help you with?,,,,,
awesome,Thanks!  Anything else I can help you with?,,,,,
bravo,Thanks!  Anything else I can help you with?,,,,,
brilliant,Thanks!  Anything else I can help you with?,,,,,
clever,Thanks!  Anything else I can help you with?,,,,,
cool,Thanks!  Anything else I can help you with?,,,,,
excellent,Thanks!  Anything else I can help you with?,,,,,
fantastic,Thanks!  Anything else I can help you with?,,,,,
fine,Thanks!  Anything else I can help you with?,,,,,
glad to hear it,Thanks!  Anything else I can help you with?,,,,,
glad to hear that,Thanks!  Anything else I can help you with?,,,,,
good,Thanks!  Anything else I can help you with?,,,,,
good for you,Thanks!  Anything else I can help you with?,,,,,
good job,Thanks!  Anything else I can help you with?,,,,,
good thing,Thanks!  Anything else I can help you with?,,,,,
good to hear from you,Thanks!  Anything else I can help you with?,,,,,
it's not a problem,"OK, thanks.",,,,,
it's no problem,"OK, thanks.",,,,,
no probs,"OK, thanks.",,,,,
no worries,"OK, thanks.",,,,,
no problem about that,"OK, thanks.",,,,,
No problem with that,"OK, thanks.",,,,,
sure no problem,"OK, thanks.",,,,,
no problem,"OK, thanks.",,,,,
don't worry about it,"OK, thanks.",,,,,
not to worry,"OK, thanks.",,,,,
Don't worry,"OK, thanks.",,,,,
good morning,Good morning! How are you today?,,,,,
good morning to you,Good morning! How are you today?,,,,,
hello good evening,How's your day been?,,,,,
evening,How's your day been?,,,,,
good evening there,How's your day been?,,,,,
I got to go now,Speak to you soon!,,,,,
I gotta go,Speak to you soon!,,,,,
I'll be back,Speak to you soon!,,,,,
I'll be back soon,Speak to you soon!,,,,,
I'll get back to you,Speak to you soon!,,,,,
I'll miss you,Speak to you soon!,,,,,
It's been nice to talk to you,Speak to you soon!,,,,,
adios,Speak to you soon!,,,,,
alright bye,Speak to you soon!,,,,,
alright good night,Speak to you soon!,,,,,
appreciate the chat,Speak to you soon!,,,,,
asta la vista,Speak to you soon!,,,,,
back in a bit,Speak to you soon!,,,,,
be back in 5 minutes,Speak to you soon!,,,,,
be back in a few,Speak to you soon!,,,,,
bye,Speak to you soon!,,,,,
bye bye,Speak to you soon!,,,,,
bye bye see you,Speak to you soon!,,,,,
bye bye see you soon,Speak to you soon!,,,,,
bye bye take care,Speak to you soon!,,,,,
bye for now,Speak to you soon!,,,,,
bye good night,Speak to you soon!,,,,,
bye-bye,Speak to you soon!,,,,,
chat later,Speak to you soon!,,,,,
cheerio,Speak to you soon!,,,,,
cheers,Speak to you soon!,,,,,
ciao,Speak to you soon!,,,,,
fine for now,Speak to you soon!,,,,,
get lost,Speak to you soon!,,,,,
go to bed,Speak to you soon!,,,,,
going to bed,Speak to you soon!,,,,,
going to bed now,Speak to you soon!,,,,,
good bye,Speak to you soon!,,,,,
good night,Speak to you soon!,,,,,
good night bye,Speak to you soon!,,,,,
good night to you,Speak to you soon!,,,,,
good talking to you,Speak to you soon!,,,,,
good to chat,Speak to you soon!,,,,,
goodbye,Speak to you soon!,,,,,
goodbye for now,Speak to you soon!,,,,,
goodbye see you later,Speak to you soon!,,,,,
goodnight now,Speak to you soon!,,,,,
got get sleep,Speak to you soon!,,,,,
gotta go to sleep,Speak to you soon!,,,,,
have a good night,Speak to you soon!,,,,,
hope to see you later,Speak to you soon!,,,,,
it's bed time,Speak to you soon!,,,,,
it's been a pleasure chatting with you,Speak to you soon!,,,,,
later you,Speak to you soon!,,,,,
leave me alone,Speak to you soon!,,,,,
nice talking to you,Speak to you soon!,,,,,
nice to chat,Speak to you soon!,,,,,
nice to talk to you,Speak to you soon!,,,,,
ok bye,Speak to you soon!,,,,,
ok have a good night,Speak to you soon!,,,,,
okay bye,Speak to you soon!,,,,,
okay see you later,Speak to you soon!,,,,,
okay thank you bye,Speak to you soon!,,,,,
sayonara,Speak to you soon!,,,,,
see ya,Speak to you soon!,,,,,
see you,Speak to you soon!,,,,,
see you soon,Speak to you soon!,,,,,
see you tomorrow,Speak to you soon!,,,,,
speak to ya,Speak to you soon!,,,,,
sweet dreams,Speak to you soon!,,,,,
ta ta for now,Speak to you soon!,,,,,
take care,Speak to you soon!,,,,,
take it easy,Speak to you soon!,,,,,
talk to you later,Speak to you soon!,,,,,
thanks bye,Speak to you soon!,,,,,
thanks bye bye,Speak to you soon!,,,,,
thanks for chatting,Speak to you soon!,,,,,
thanks good night,Speak to you soon!,,,,,
that's all for now,Speak to you soon!,,,,,
til next time,Speak to you soon!,,,,,
til we meet again,Speak to you soon!,,,,,
till next time,Speak to you soon!,,,,,
time to go,Speak to you soon!,,,,,
time to go to bed,Speak to you soon!,,,,,
you can go now,Speak to you soon!,,,,,
How’s the weather,Great I love it ,,,,,
How’s the weather,I hate it ,,,,,
Nice day today right,Lovely day ,,,,,
Weather is bad ,Very bad ,,,,,
Not a day to go out,Its not nice isn’t it,,,,,
Have you seen the news today,Yeah interesting developments,,,,,
Did you see the news ,I don’t follow the news ,,,,,
Are u conservative,I don’t follow political ideologies,,,,,
Are u a socialist,I don’t follow political ideologies,,,,,
Are u a communist,I don’t follow political ideologies,,,,,
How are you ,Im fine today,,,,,
I like the weather,Yeah its great today right ,,,,,
Do you like me ,"Sometimes I do, sometimes I don’t ",,,,,
I love star wars,Great,,,,,
How are you doing,Im doing just fine,,,,,
I miss you,Well I don’t haha!,,,,,
Hi how are you ,I’m okay actually,,,,,
Hi how are you ,Im good,,,,,
Hi how are you ,Its okay,,,,,
Hi how are you ,Been better,,,,,
How are you ,I’m okay actually,,,,,
How are you ,Im good,,,,,
How are you ,Its okay,,,,,
What are you saying,Nothing much bro,,,,,
The weather is banging ,It is innit,,,,,
The weather is banging ,Nah the weather is dead,,,,,
Do you like snitches,I don’t mind them to be honest,,,,,
Wassup bro,I’m cool bro ,,,,,
The weather is Peng,It’s not Peng at all,,,,,
The weather is Peng,Yeah its Peng Allie,,,,,
The feds are great innit,"The feds, I can’t stand them",,,,,
The feds are great innit,The police do a great job ,,,,,
wys,Im bored ,,,,,
Safe ,Anytime bro,,,,,
In a bit,See you later bro,,,,,
My bro,Anytime g,,,,,
You’re a wasteman,Nah you’re a wasteman,,,,,
This food is peng,Nah man,,,,,
rah,Why are you surprised,,,,,
Bless up,Safe my guy,,,,,
Damn ,What happened,,,,,
wagwan,What’s up my bro ,,,,,
what’s the motive,We’re going to the moon,,,,,
You got any crypto,Yeah me and UON hold Bitcoin,,,,,
Wahali,I believe you bro,,,,,
g2g,See you later,,,,,
I’ll be back asap,Hurry,,,,,
Long time no see,I didn’t miss you,,,,,
Chinese tomorrow,No everyday,,,,,